keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
disdainful,1530,1662,526,631,789,251.30000000000018
based on toy,1530,583,757,729,201,251.20000000000016
female rage,1530,1662,1576,1391,412,250.7000000000002
death of mother,1530,1662,823,600,815,249.20000000000005
alien life-form,768,1284,1576,303,14,248.90000000000006
native american,1203,1662,774,162,709,248.80000000000024
copycat killer,1530,1662,1576,1391,425,248.10000000000028
brother sister relationship,1392,1251,995,808,373,248.1000000000002
childhood friends,1347,1490,575,748,478,248.0000000000002
sci-fi horror,1530,1662,1576,1391,426,247.90000000000018
alien contact,1530,1662,1576,1391,426,247.90000000000018
afterlife,1473,497,1284,326,319,247.9000000000001
evolution,1239,1662,1576,380,641,247.80000000000018
toxic masculinity,1530,1662,1576,1257,494,247.70000000000022
satanic cult,1530,1662,1433,457,896,247.30000000000035
brisk,1261,1662,1576,673,520,247.1000000000001
family vacation,1530,1369,1014,754,603,246.89999999999998
heist gone wrong,1530,1662,1576,1391,433,246.50000000000017
platonic love,1530,1662,1576,1391,434,246.30000000000013
wizardry,1530,1662,1576,1391,434,246.30000000000013
gang of thieves,1530,1662,1576,1391,434,246.30000000000013
role playing game,1530,1662,1576,1391,434,246.30000000000013
ambiguous,1222,139,958,80,24,245.50000000000014
political corruption,1530,988,1576,1260,168,245.20000000000005
death of wife,1530,1662,1576,643,816,244.70000000000024
deadly snake,1530,1662,1576,1391,444,244.3000000000003
near future,1530,1662,1576,917,682,244.10000000000008
shinkansen,1530,1662,1576,1391,447,243.7000000000003
relaxed,1514,1662,763,1391,431,243.70000000000013
addiction,1273,1662,1576,602,585,243.6000000000002
deaf,1530,1662,1389,522,889,242.20000000000007
self image,1530,1662,1576,1391,455,242.10000000000002
jewish american,1530,1662,1576,1391,460,241.10000000000008
buddy comedy,1530,1662,628,657,829,240.70000000000013
female sexuality,1530,1662,1576,1391,464,240.3000000000002
chef,1530,1662,1498,1327,496,240.30000000000013
warrior woman,1530,1662,1576,1391,465,240.1000000000003
dead parent,1530,1662,1576,1391,466,239.9000000000004
seoul,1530,1662,1576,307,1008,239.90000000000026
clairvoyant,1530,1662,1576,1391,467,239.70000000000033
reboot,1530,571,196,154,541,239.50000000000014
self-harm,1530,1662,1576,1391,468,239.50000000000014
violent death,1530,1662,1300,1391,471,238.9000000000001
awestruck,1194,164,101,33,66,238.7000000000001
interrogation,1530,502,735,617,285,237.5000000000001
fashion designer,1271,1662,1576,1391,231,235.10000000000005
shounen,1277,1376,1260,927,327,234.90000000000023
condescending,1530,1005,1066,734,492,234.70000000000013
portugal,1530,1662,1576,1338,523,233.80000000000015
remote island,1530,1662,1576,1391,497,233.70000000000005
lgbt,885,823,282,105,76,233.60000000000005
immigration,1318,1662,1576,1391,290,232.70000000000022
new york subway,1530,1662,1576,1391,504,232.30000000000035
party,1530,1662,1576,1391,506,231.90000000000018
betrayal,882,771,265,171,27,231.00000000000003
east asian lead,1308,1479,355,1391,198,230.8
quest for knowledge,1530,1662,1576,1391,514,230.30000000000007
rogue agent,1530,1662,1576,1391,518,229.50000000000006
spousal abuse,1530,1662,1576,1391,522,228.70000000000016
lisbon,1530,1662,1576,1391,523,228.50000000000026
absurdism,1530,1662,1576,1391,525,228.10000000000025
sexual awakening,1530,1662,1154,1391,526,227.90000000000012
independent film,1530,1264,1308,990,529,227.60000000000008
beauty,1530,1047,1576,1391,220,227.60000000000008
demonic,1530,1662,1576,1391,533,226.50000000000003
eating disorder,1530,1662,1576,1391,534,226.30000000000013
forest,1130,599,284,140,232,225.5000000000001
queer loneliness,1530,1662,1576,1391,538,225.50000000000006
hometown,1530,1662,1576,1391,546,223.90000000000032
praying,1530,1662,1576,1391,554,222.30000000000018
convent,1530,1662,1576,1391,554,222.30000000000018
helicopter parenting,1530,1662,1576,1391,558,221.5000000000002
graduation party,1530,1662,1576,1391,558,221.5000000000002
computer animation,1530,1123,1576,1188,391,221.30000000000007
animal shelter,1530,1662,1576,1391,560,221.10000000000028
socially awkward,1530,1662,1576,1391,560,221.10000000000028
older woman seduces younger guy,1530,1662,1576,1391,560,221.10000000000028
craigslist,1530,1662,1576,1391,560,221.10000000000028
bankruptcy,1530,1662,1576,1391,560,221.10000000000028
uber,1530,1662,1576,1391,560,221.10000000000028
late coming of age,1530,1662,1576,1391,560,221.10000000000028
nude swimming,1530,1662,956,1391,560,221.10000000000014
creature,946,473,264,24,65,221.10000000000008
loss of virginity,1530,1662,916,1391,571,218.90000000000018
vexed,1530,1662,489,1391,575,218.10000000000022
social satire,1530,893,1576,1391,193,217.59999999999994
drunk,1530,1508,1576,1391,501,217.50000000000003
séance,1530,1662,1576,1391,582,216.70000000000013
mutilation,1530,1662,1576,1391,584,216.30000000000024
abusive father,1469,1662,1576,451,994,216.1000000000001
murder spree,1530,1662,1576,1391,587,215.70000000000016
android horror,1530,1662,1576,1391,590,215.1000000000002
looting,1530,1662,1576,1391,591,214.90000000000018
pastiche,1530,1662,1576,1391,596,213.90000000000018
new england,1530,1662,1576,831,879,213.30000000000035
secret experiment,1530,1662,1576,1391,600,213.1000000000003
gentle,1530,1662,1576,585,1003,213.10000000000022
mother daughter relationship,934,788,433,170,178,213.00000000000009
mortality,1530,1662,1576,1391,601,212.90000000000026
fear,483,1350,464,65,61,212.90000000000015
winter,1530,416,665,161,593,212.90000000000012
poverty,1530,1662,1576,1248,676,212.2000000000002
time warp,1530,1662,1576,1391,606,211.90000000000018
human experiment,1530,1662,1576,1391,607,211.70000000000013
evil clown,1530,1662,1576,1391,609,211.30000000000007
bhutan,1530,1662,1576,1391,610,211.1000000000001
hamlet,1530,1662,1576,1391,618,209.5000000000002
father murder,1530,1662,1576,1391,619,209.30000000000024
1910s,894,1588,1576,255,515,209.10000000000025
shapeshifting,1530,1662,1576,659,989,208.5000000000002
morocco,1530,1662,1576,57,1293,207.90000000000026
empathetic,963,840,96,240,227,207.2000000000002
race against time,1530,466,55,400,528,207.00000000000014
deep sea,1530,1662,1576,1391,631,206.90000000000012
cosmic,1530,1662,1576,68,1293,206.80000000000024
niece,1530,1662,1576,1391,632,206.70000000000022
isolated farmhouse,1530,1662,1576,1391,633,206.5
tyrannosaurus rex,1530,1662,1576,72,1293,206.4000000000003
genetic engineering,1530,1662,1576,75,1293,206.10000000000014
barn,1530,1662,1576,1391,635,206.10000000000002
nun,1530,1006,1576,899,554,205.90000000000015
filmmaking,1530,1295,1576,493,903,205.60000000000016
troubled past,1530,1662,1576,1391,639,205.3000000000003
ex soldier,1530,1176,743,1391,400,204.50000000000017
chimpanzee,1530,1662,224,1391,643,204.50000000000014
shrinking,1530,1662,1576,92,1293,204.4000000000004
social realism,1530,1662,1576,93,1293,204.30000000000027
girls' school,1530,1480,1576,1391,554,204.10000000000014
miniaturization,1530,1662,1576,95,1293,204.0999999999999
ant,1530,1662,1576,96,1293,204.0000000000001
formiga,1530,1662,1576,96,1293,204.0000000000001
2040s,1530,1662,416,99,1293,203.70000000000024
monster horror,1530,1662,1576,100,1293,203.60000000000022
killer clown,1530,1662,1576,1391,648,203.50000000000009
megaslasher,1530,1662,1576,1391,649,203.30000000000007
masculinity,1530,1662,1576,1391,652,202.7000000000002
sardonic,1530,496,1576,859,335,202.70000000000013
maine,1530,1662,1576,111,1293,202.50000000000006
loss and grief,1530,1662,1576,1391,653,202.4999999999999
dysfunctional relationship,1530,1662,1576,1391,654,202.29999999999998
revenge murderer,1530,1662,1576,1391,655,202.10000000000002
tyrant,1530,1662,1576,1391,657,201.70000000000016
revolution,1530,1662,244,119,1293,201.70000000000007
violence,1418,215,640,305,365,201.60000000000014
multiple personality,1530,1662,1576,132,1293,200.40000000000035
dissociative identity disorder,1530,1662,1576,132,1293,200.40000000000035
creepy doll,1530,1662,1576,1391,664,200.30000000000015
animal attack,1530,1662,1576,134,1293,200.20000000000016
forceful,1530,1662,951,1391,666,199.90000000000012
pop music,1530,1662,1576,1391,667,199.70000000000016
colorado,1530,1308,1576,1176,598,199.6000000000002
aunt niece relationship,1530,1662,1576,1391,670,199.10000000000005
dead dog,1530,1662,1576,1391,670,199.10000000000005
boat,1530,1662,1114,764,986,198.60000000000014
interracial relationship,1428,1662,1576,403,1065,198.50000000000014
theme park,1530,1662,1576,153,1293,198.30000000000027
lost treasure,1530,1662,1576,1391,674,198.30000000000015
boys' love (bl),1530,1662,624,1275,733,198.10000000000016
joyous,932,1229,1576,784,164,198.10000000000002
karaoke,1530,1662,1576,1391,681,196.90000000000032
guns,1530,1662,414,169,1293,196.70000000000016
divorce,1126,1111,833,627,386,196.40000000000006
trial,1437,1214,1214,739,693,196.30000000000024
colonization,1530,1662,1576,1335,712,196.3000000000002
new year's eve,1530,1116,668,1391,411,196.30000000000013
neurosurgeon,1530,1662,1576,174,1293,196.2000000000002
smile,1530,1662,1576,1391,685,196.10000000000014
second part,1530,1662,1576,1391,688,195.50000000000014
modest,1530,457,494,1391,89,194.80000000000013
cult,1530,1662,1228,471,1154,194.3
compassionate,612,908,63,40,75,194.2000000000001
stereotype,1530,1662,1576,196,1293,194.00000000000014
injury,1530,1662,1576,197,1293,193.90000000000026
teen anger,1530,1662,1576,1391,696,193.9
sorcerer,1530,1662,269,198,1293,193.80000000000024
sex,1490,1026,798,1391,341,193.30000000000027
juvenile delinquent,1501,1662,1576,1391,670,193.30000000000027
nazi germany,1530,1662,1576,1391,699,193.30000000000027
naples,1530,1662,1576,1391,700,193.1000000000003
football (soccer) fan,1530,1662,1576,1391,700,193.1000000000003
starvation,1530,1662,1576,212,1293,192.40000000000026
scalping,1530,1662,1576,215,1293,192.10000000000008
video surveillance,1530,1662,1576,1391,705,192.10000000000005
abandoned house,1530,1662,1576,216,1293,192.00000000000028
oklahoma,1530,1662,1576,1391,710,191.1000000000001
lesbian relationship,1530,1654,1147,772,1017,190.80000000000015
police detective,1530,395,941,1391,79,190.6000000000001
true crime,1530,1662,1576,1391,713,190.50000000000026
oil industry,1530,1662,1576,1391,713,190.50000000000026
death of brother,1530,1662,1576,232,1293,190.4000000000003
cop,1530,870,1423,1267,381,190.10000000000016
self-destruction,1530,1662,1576,236,1293,190.00000000000028
fame,1530,1591,1514,166,1293,189.90000000000032
nasa,1530,1662,92,237,1293,189.90000000000006
death of father,1110,1662,542,1391,296,189.9
child in peril,1530,855,1576,1391,313,189.8000000000002
normandy,1530,1662,1576,1391,718,189.50000000000037
wonder,1530,445,1576,382,614,189.5000000000002
double agent,1530,1662,1576,250,1293,188.60000000000008
dark romance,1530,1662,1576,1391,723,188.50000000000009
racism,1465,550,200,339,630,188.1000000000001
hopeless,1530,763,1576,1391,276,188.00000000000017
feminism,1530,1662,1263,257,1293,187.90000000000032
empowerment,1530,1662,1576,258,1293,187.80000000000018
pub,1530,1662,1576,1391,727,187.70000000000007
prodigy,1530,1662,1576,1391,728,187.5
pornography,1530,1393,1576,1391,594,187.4000000000001
lovecraftian,1530,1662,630,1391,729,187.30000000000013
beach,905,1444,1426,226,579,187.00000000000014
the white house,1530,523,1091,909,402,187.00000000000014
police officer,962,1420,1397,1173,151,186.90000000000012
multiple stabbings,1530,1662,1576,1391,732,186.70000000000002
apartment,1530,1662,1576,1391,738,185.50000000000023
government agency,1530,1662,1576,281,1293,185.50000000000009
mother,1270,1470,1474,1391,383,185.3000000000002
televangelist,1530,1662,1576,1391,740,185.1000000000003
transgender,1530,1662,1576,1391,741,184.9000000000001
empathy,1530,1662,1576,1391,743,184.50000000000017
music,1530,1662,1576,327,1275,184.50000000000017
internet,1530,1662,1267,567,1156,184.3000000000001
objective,1530,1662,1576,1391,744,184.30000000000007
runner,1530,1662,1576,294,1293,184.20000000000033
teacher student relationship,1530,968,1413,1391,398,184.10000000000016
elementary school,1530,1662,1341,300,1293,183.60000000000028
abandonment,1530,1662,1576,1391,748,183.5000000000002
serious,1530,1662,889,304,1293,183.20000000000016
mass destruction,1530,1662,1576,306,1293,183.00000000000037
father daughter estrangement,1530,1662,1576,1391,751,182.90000000000023
idaho,1530,1662,1576,1391,752,182.70000000000022
catastrophe,1530,1662,1576,310,1293,182.60000000000028
cat,804,1662,1302,1025,211,182.30000000000018
ex-cia agent,1530,1662,1576,1391,755,182.10000000000025
ice hockey,1530,1646,1576,300,1293,182.0
toy comes to life,1530,1662,438,317,1293,181.90000000000032
disease,1530,1662,520,318,1293,181.80000000000015
wealthy family,1530,1662,1576,319,1293,181.70000000000033
family conflict,1068,1650,1200,1391,289,181.70000000000022
tutor,1530,1662,1576,321,1293,181.50000000000009
cousin relationship,1530,1662,1215,1009,950,181.30000000000024
imprisonment,1530,1662,866,323,1293,181.30000000000013
revisionist history,1530,1662,1576,325,1293,181.1000000000001
euphoric,1530,183,86,901,266,181.00000000000006
aspiring actress,1530,1662,1576,1391,762,180.70000000000024
police procedural,1530,1662,1576,1391,763,180.50000000000009
detached,1530,1662,1391,1391,764,180.30000000000018
murderer,1530,1662,1531,334,1293,180.20000000000022
alien language,1530,1662,1576,336,1293,180.0000000000001
british army,1530,1662,1576,338,1293,179.80000000000027
dread,1530,1662,1576,1391,767,179.7000000000001
military officer,1530,1662,1576,345,1293,179.10000000000025
genetic experiment,1530,1662,1576,350,1293,178.6000000000004
paranoia,1530,1088,451,825,769,178.50000000000014
alien technology,1530,1662,1576,351,1293,178.50000000000014
gold rush,1530,1662,1576,1391,773,178.49999999999986
india,1486,120,675,796,256,178.4000000000001
sahara desert,1530,1662,1576,358,1293,177.80000000000004
swimming pool,1530,1076,1576,477,941,177.7000000000003
discrimination,1530,1662,1576,359,1293,177.7000000000001
racial prejudice,1530,1662,1270,361,1293,177.50000000000023
sheep,1530,1662,1576,364,1293,177.20000000000007
space battle,1530,1662,1576,365,1293,177.10000000000014
busan,1530,1662,1555,1391,780,177.10000000000002
injustice,1530,1662,1576,366,1293,177.00000000000026
rape and revenge,1530,969,1173,790,739,176.1000000000002
arizona,1530,1662,1095,1060,951,176.00000000000028
laboratory,1530,1662,1576,377,1293,175.90000000000032
scam,1530,1662,1576,1391,786,175.90000000000012
panda,1530,1662,1576,1391,787,175.70000000000002
alternate universe,1530,1662,1576,381,1293,175.5000000000001
mental health,1530,1662,1576,1391,788,175.49999999999994
folk horror,1530,1662,1456,713,1128,175.30000000000013
hired killer,1530,1662,1576,1391,791,174.9000000000004
newspaper or article,1530,1662,1576,756,1110,174.6000000000002
based on magazine,1530,1662,1576,756,1111,174.40000000000012
trapped in space,1530,1662,1576,395,1293,174.10000000000025
attempted murder,1530,1586,1576,1391,758,173.90000000000032
film in film,1530,1632,1576,367,1293,173.90000000000015
secrecy,1530,1662,1576,398,1293,173.8000000000002
exploration,1530,1662,1576,1391,797,173.7000000000002
billionaire,1530,1662,274,399,1293,173.70000000000013
porn star,1530,1662,1576,1391,798,173.50000000000014
porn actress,1530,1662,1576,1391,798,173.50000000000014
asteroid,1137,1662,1576,1391,407,173.10000000000025
beast,1530,1662,491,406,1293,173.0000000000002
russian spy,1530,1662,1576,407,1293,172.90000000000006
sympathetic,1053,269,184,415,116,172.80000000000007
farm house,1530,1662,1576,1391,803,172.50000000000009
alien invasion,867,356,100,42,163,172.20000000000007
city life,1530,1662,1576,417,1293,171.90000000000026
giant,1530,1662,1576,419,1293,171.70000000000016
experiment,919,1017,211,121,510,171.40000000000015
nuclear missile,1530,1662,1576,422,1293,171.40000000000015
space adventure,1530,1662,90,1391,809,171.30000000000013
dysfunctional family,1067,524,801,762,92,171.20000000000016
peer pressure,1530,1662,1576,1391,810,171.10000000000034
exorcist,1530,1662,1576,1297,857,171.1000000000001
1920s,1219,804,1576,150,691,171.0000000000002
sword duel,1530,1662,1576,1391,811,170.90000000000035
gaming,1530,1662,1576,430,1293,170.60000000000025
bunker,987,1662,1576,376,777,170.6000000000001
trapped in a game,1530,1662,1576,436,1293,170.0000000000002
baba yaga,1530,1662,1576,437,1293,169.90000000000006
zoologist,1530,1662,1576,438,1293,169.8000000000001
black humor,1530,1662,1576,440,1293,169.60000000000028
bratva (russian mafia),1530,1662,1576,440,1293,169.60000000000028
destiny,794,1662,1143,1391,82,169.50000000000006
explorer,1530,1662,1576,442,1293,169.4000000000002
animal horror,1405,1662,1576,192,1293,169.40000000000012
nihilism,1098,1662,1576,1391,387,169.30000000000015
rich family,1530,1662,1576,1391,820,169.10000000000022
giant animal,1530,1662,1576,447,1293,168.90000000000012
flooding,1530,1662,1576,1391,822,168.70000000000044
pacifism,1530,1662,1576,449,1293,168.70000000000013
space,851,247,36,34,114,168.7000000000001
pacifist,1530,1662,1576,452,1293,168.4000000000001
rich,1530,1662,1576,463,1293,167.30000000000027
end of the world,1530,155,379,1001,272,167.00000000000017
historical drama,1117,1662,1050,1391,420,166.50000000000003
cannibalism,1530,1660,1576,1391,833,166.3000000000002
blizzard,1530,1662,1576,474,1293,166.2000000000001
possession,1362,683,415,665,540,166.20000000000007
inspiring,1530,1662,1576,1391,835,166.10000000000025
brotherhood,1530,1662,1576,1391,835,166.10000000000025
caregiver,1530,1662,1576,476,1293,166.0000000000001
female cyborg,1530,1662,1576,478,1293,165.80000000000015
ireland,1461,1662,1234,1391,768,165.70000000000022
novelist,1530,1662,1055,1391,837,165.70000000000007
high technology,1530,1662,1576,483,1293,165.3000000000002
married woman,1530,1662,1576,1391,841,164.90000000000023
moral conflict,1530,1662,1576,1391,842,164.7000000000002
dual role,1530,1662,1576,1391,844,164.30000000000015
slice of life,1530,1390,1546,1076,867,164.00000000000034
florida,823,971,1292,703,137,164.00000000000014
manson family murders,1530,1662,1576,496,1293,164.00000000000014
charles manson,1530,1662,1576,497,1293,163.90000000000026
animal human friendship,1530,1662,226,1391,846,163.90000000000023
prequel,1122,286,692,431,230,163.90000000000015
disheartening,1092,635,311,630,275,163.90000000000012
hearing impaired,1530,1662,1576,498,1293,163.8
grandfather grandson relationship,1530,1662,1576,1391,847,163.70000000000024
period piece,1530,1662,1576,1391,848,163.50000000000023
distant future,1530,61,1576,1391,48,163.40000000000015
1830s,1530,1662,1576,1391,850,163.10000000000036
courtroom drama,1530,1216,1175,1391,627,163.10000000000016
japanese high school,1530,1407,1536,570,1134,162.90000000000018
jazz club,1530,1662,1576,510,1293,162.60000000000008
bank robbery,1055,531,852,524,247,162.30000000000004
telekinesis,1530,1662,434,514,1293,162.20000000000013
guilty conscience,1530,1662,1576,518,1293,161.80000000000004
teenage romance,1145,972,1576,1391,127,161.70000000000024
monster island,1530,1662,1576,520,1293,161.60000000000025
mourning,1530,320,337,270,747,161.6000000000001
